"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"BF58",0,0.0164895674678783,0.338390767154568,0
"BF59",0,0.0283635324242949,0.471044709829462,0
"BF60",0,0.00861683331075647,0.209580339778363,0
"BF61",0,0.00352282283454615,0.0973486912885271,0
"BF62",0,0.00277054529447734,0.0781314378507049,0
"BF63",0,0.00534655101161777,0.140878066790325,0
"BF64",0,0.00486749753688544,0.129840544445333,0
"BF65",0,0.0069724144402073,0.176408795749172,0
"BF66",0,0.012000511556885,0.270358133851549,0
"BF67",0,0.0176792651511265,0.354435489029309,0
"BF68",0,0.0190586931965269,0.372136348784769,0
"BF69",0,0.0348605484146987,0.524233436933631,0
"BF70",0,0.0349944412067759,0.525224055793478,0
"BF71",0,0.00672733878970186,0.171235109739474,0
"BF72",0,0.00384908758801018,0.105445079905397,0
"BF73",0,0.00566125269525847,0.147983367202971,0
"BF74",0,0.00809414812835781,0.1993183288862,0
"BF75",0,0.010129866825375,0.237912394630744,0
"BF76",0,0.0138160439806005,0.299414859881592,0
"BF77",0,0.0182455381668793,0.361815251701207,0
"BF78",0,0.0206660676743789,0.391633037630021,0
"BF79",0,0.0320105194743606,0.502192472453868,0
"BF80",0,0.0645916858167345,0.678094612517888,0
"BF81",0,0.0458311640277444,0.594367502489859,0
"BF82",0,0.0226263013124015,0.413908863636426,0
"BF83",0,0.0119373687249759,0.269306136317003,0
"BF84",0,0.0110525139600238,0.254252967310297,0
"BF85",0,0.0121662789427869,0.27310619183203,0
"BF86",0,0.0132625337025299,0.290793286027427,0
"BF87",0,0.0187533833796038,0.368298538952052,0
"BF88",0,0.0328230304739776,0.508668009922573,0
"BF89",0,0.0394349622859187,0.556028129989634,0
"BF90",1,0.075641845910728,0.71398886469602,1
"BF91",0,0.0753118476802872,0.71302215961564,0
